"data","model","mse"
"mouse_olfactory_bulb","ZINB",7.01447482014389
"mouse_olfactory_bulb","ZINB",7.00451618705036
"mouse_olfactory_bulb","ZINB",7.02145683453237
"mouse_olfactory_bulb","ZINB",6.89878057553957
"mouse_olfactory_bulb","ZINB",6.86138669064748
"mouse_olfactory_bulb","ZINB",7.0326726618705
"mouse_olfactory_bulb","ZINB",6.96120863309353
"mouse_olfactory_bulb","ZINB",6.95378597122302
"mouse_olfactory_bulb","ZINB",6.95466366906475
"mouse_olfactory_bulb","ZINB",6.99655215827338
"mouse_olfactory_bulb","ZINB",7.00725539568345
"mouse_olfactory_bulb","ZINB",7.0125845323741
"mouse_olfactory_bulb","ZINB",6.99404856115108
"mouse_olfactory_bulb","ZINB",6.92029856115108
"mouse_olfactory_bulb","ZINB",6.8410809352518
"mouse_olfactory_bulb","ZINB",6.96508633093525
"mouse_olfactory_bulb","ZINB",6.91569784172662
"mouse_olfactory_bulb","ZINB",6.89736330935252
"mouse_olfactory_bulb","ZINB",6.89089568345324
"mouse_olfactory_bulb","ZINB",6.89515467625899
"mouse_olfactory_bulb","ZINB",6.97460611510791
"mouse_olfactory_bulb","ZINB",7.08965827338129
"mouse_olfactory_bulb","ZINB",6.95877338129496
"mouse_olfactory_bulb","ZINB",7.07853417266187
"mouse_olfactory_bulb","ZINB",7.00489028776978
"mouse_olfactory_bulb","ZINB",6.98080935251799
"mouse_olfactory_bulb","ZINB",6.89000719424461
"mouse_olfactory_bulb","ZINB",6.95828597122302
"mouse_olfactory_bulb","ZINB",6.81209532374101
"mouse_olfactory_bulb","ZINB",6.89990107913669
"mouse_olfactory_bulb","ZINB",7.04217625899281
"mouse_olfactory_bulb","ZINB",7.06930935251799
"mouse_olfactory_bulb","ZINB",6.9913345323741
"mouse_olfactory_bulb","ZINB",7.05293705035971
"mouse_olfactory_bulb","ZINB",6.97426618705036
"mouse_olfactory_bulb","ZINB",6.99538848920863
"mouse_olfactory_bulb","ZINB",7.00787230215827
"mouse_olfactory_bulb","ZINB",7.08915287769784
"mouse_olfactory_bulb","ZINB",6.94523920863309
"mouse_olfactory_bulb","ZINB",7.12551079136691
"mouse_olfactory_bulb","ZINB",6.99798381294964
"mouse_olfactory_bulb","ZINB",6.9326690647482
"mouse_olfactory_bulb","ZINB",7.04847841726619
"mouse_olfactory_bulb","ZINB",7.06781115107914
"mouse_olfactory_bulb","ZINB",7.06561690647482
"mouse_olfactory_bulb","ZINB",6.92556115107914
"mouse_olfactory_bulb","ZINB",7.1044928057554
"mouse_olfactory_bulb","ZINB",7.00835251798561
"mouse_olfactory_bulb","ZINB",6.94156654676259
"mouse_olfactory_bulb","ZINB",6.99371942446043
"mouse_olfactory_bulb","ZINB",6.94606834532374
"mouse_olfactory_bulb","ZINB",7.14097661870504
"mouse_olfactory_bulb","ZINB",7.0728273381295
"mouse_olfactory_bulb","ZINB",6.96116007194245
"mouse_olfactory_bulb","ZINB",7.03440467625899
"mouse_olfactory_bulb","ZINB",6.93187949640288
"mouse_olfactory_bulb","ZINB",6.93201978417266
"mouse_olfactory_bulb","ZINB",6.92960971223022
"mouse_olfactory_bulb","ZINB",7.06535791366907
"mouse_olfactory_bulb","ZINB",6.96773920863309
"mouse_olfactory_bulb","ZINB",7.01647482014388
"mouse_olfactory_bulb","ZINB",7.07089208633094
"mouse_olfactory_bulb","ZINB",6.89950539568345
"mouse_olfactory_bulb","ZINB",6.89496942446043
"mouse_olfactory_bulb","ZINB",6.99673381294964
"mouse_olfactory_bulb","ZINB",6.90527338129496
"mouse_olfactory_bulb","ZINB",6.90886690647482
"mouse_olfactory_bulb","ZINB",7.00612230215827
"mouse_olfactory_bulb","ZINB",6.84575
"mouse_olfactory_bulb","ZINB",6.92751258992806
"mouse_olfactory_bulb","ZINB",6.96553237410072
"mouse_olfactory_bulb","ZINB",6.86840107913669
"mouse_olfactory_bulb","ZINB",6.95177338129496
"mouse_olfactory_bulb","ZINB",6.92200899280575
"mouse_olfactory_bulb","ZINB",6.86319424460432
"mouse_olfactory_bulb","ZINB",7.01187230215827
"mouse_olfactory_bulb","ZINB",6.9790773381295
"mouse_olfactory_bulb","ZINB",7.09353057553957
"mouse_olfactory_bulb","ZINB",7.06198021582734
"mouse_olfactory_bulb","ZINB",7.00664388489209
"mouse_olfactory_bulb","ZINB",6.93328057553957
"mouse_olfactory_bulb","ZINB",7.05494424460432
"mouse_olfactory_bulb","ZINB",7.02337769784173
"mouse_olfactory_bulb","ZINB",6.8936618705036
"mouse_olfactory_bulb","ZINB",6.9418273381295
"mouse_olfactory_bulb","ZINB",6.85375539568345
"mouse_olfactory_bulb","ZINB",6.94436151079137
"mouse_olfactory_bulb","ZINB",6.85739208633094
"mouse_olfactory_bulb","ZINB",6.89931294964029
"mouse_olfactory_bulb","ZINB",6.98755755395683
"mouse_olfactory_bulb","ZINB",6.85166007194245
"mouse_olfactory_bulb","ZINB",7.10263669064748
"mouse_olfactory_bulb","ZINB",6.91462949640288
"mouse_olfactory_bulb","ZINB",7.17198920863309
"mouse_olfactory_bulb","ZINB",7.00235251798561
"mouse_olfactory_bulb","ZINB",7.0008381294964
"mouse_olfactory_bulb","ZINB",6.94848201438849
"mouse_olfactory_bulb","ZINB",7.05206474820144
"mouse_olfactory_bulb","ZINB",7.03871942446043
"mouse_olfactory_bulb","ZINB",7.03257014388489
"mouse_olfactory_bulb","ZINB",6.94156654676259
"mouse_olfactory_bulb","ZINB",7.00519964028777
"mouse_olfactory_bulb","ZINB",7.06154856115108
"mouse_olfactory_bulb","ZINB",7.10693345323741
"mouse_olfactory_bulb","ZINB",6.87879496402878
