"pattern","zero","replicate","method","metrics","value","f"
"bc_pattern",10,1,"BayesCafe","ARI",0.905926193548387,0
"bc_pattern",10,1,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,1,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,1,"BayesCafe","ARI",1,1.5
"bc_pattern",10,1,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,2,"BayesCafe","ARI",1,0
"bc_pattern",10,2,"BayesCafe","ARI",1,0.5
"bc_pattern",10,2,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,2,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",10,2,"BayesCafe","ARI",0.921284378810459,2
"bc_pattern",10,3,"BayesCafe","ARI",0.921284053791875,0
"bc_pattern",10,3,"BayesCafe","ARI",0.968128,0.5
"bc_pattern",10,3,"BayesCafe","ARI",0.936770129785672,1
"bc_pattern",10,3,"BayesCafe","ARI",0.936770129785672,1.5
"bc_pattern",10,3,"BayesCafe","ARI",0.936770129785672,2
"bc_pattern",10,4,"BayesCafe","ARI",1,0
"bc_pattern",10,4,"BayesCafe","ARI",1,0.5
"bc_pattern",10,4,"BayesCafe","ARI",1,1
"bc_pattern",10,4,"BayesCafe","ARI",1,1.5
"bc_pattern",10,4,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,5,"BayesCafe","ARI",0.952384786481345,0
"bc_pattern",10,5,"BayesCafe","ARI",0.952384786481345,0.5
"bc_pattern",10,5,"BayesCafe","ARI",0.952384786481345,1
"bc_pattern",10,5,"BayesCafe","ARI",0.952384786481345,1.5
"bc_pattern",10,5,"BayesCafe","ARI",0.952384786481345,2
"bc_pattern",10,6,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,6,"BayesCafe","ARI",1,0.5
"bc_pattern",10,6,"BayesCafe","ARI",1,1
"bc_pattern",10,6,"BayesCafe","ARI",1,1.5
"bc_pattern",10,6,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,7,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,7,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,7,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,7,"BayesCafe","ARI",1,1.5
"bc_pattern",10,7,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,8,"BayesCafe","ARI",0.968128032900095,0
"bc_pattern",10,8,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,8,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,8,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",10,8,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,9,"BayesCafe","ARI",0.968128,0
"bc_pattern",10,9,"BayesCafe","ARI",1,0.5
"bc_pattern",10,9,"BayesCafe","ARI",1,1
"bc_pattern",10,9,"BayesCafe","ARI",1,1.5
"bc_pattern",10,9,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,10,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,10,"BayesCafe","ARI",1,0.5
"bc_pattern",10,10,"BayesCafe","ARI",1,1
"bc_pattern",10,10,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",10,10,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,11,"BayesCafe","ARI",1,0
"bc_pattern",10,11,"BayesCafe","ARI",1,0.5
"bc_pattern",10,11,"BayesCafe","ARI",1,1
"bc_pattern",10,11,"BayesCafe","ARI",1,1.5
"bc_pattern",10,11,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,12,"BayesCafe","ARI",0.983999746064582,0
"bc_pattern",10,12,"BayesCafe","ARI",0.983999746064582,0.5
"bc_pattern",10,12,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,12,"BayesCafe","ARI",0.983999746064582,1.5
"bc_pattern",10,12,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,13,"BayesCafe","ARI",0.968128032900095,0
"bc_pattern",10,13,"BayesCafe","ARI",0.968128032900095,0.5
"bc_pattern",10,13,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,13,"BayesCafe","ARI",0.968128,1.5
"bc_pattern",10,13,"BayesCafe","ARI",0.968128,2
"bc_pattern",10,14,"BayesCafe","ARI",1,0
"bc_pattern",10,14,"BayesCafe","ARI",1,0.5
"bc_pattern",10,14,"BayesCafe","ARI",1,1
"bc_pattern",10,14,"BayesCafe","ARI",1,1.5
"bc_pattern",10,14,"BayesCafe","ARI",0.00012853044204955,2
"bc_pattern",10,15,"BayesCafe","ARI",0.968128,0
"bc_pattern",10,15,"BayesCafe","ARI",1,0.5
"bc_pattern",10,15,"BayesCafe","ARI",0.983999746064582,1
"bc_pattern",10,15,"BayesCafe","ARI",0.00012853044204955,1.5
"bc_pattern",10,15,"BayesCafe","ARI",0.983999746064582,2
"bc_pattern",10,16,"BayesCafe","ARI",0.968128,0
"bc_pattern",10,16,"BayesCafe","ARI",0.968128,0.5
